53;"Буровая компания ""Евразия"", БО-001Р-03";RU000A100G03;25.07.2019;25.07.2019;BUY;1000,00;117 000;101,6500;27 263,33;100,0000;102,9673;0;117 000;118 930 500,00;27 263,33;117 000 000,00;120 471 750,61;3 471 750,61;0,00;-1 930 500,00;0,00;3 500 640,00;29,92;ДУ-001;СССД_ЦБ
54;"Буровая компания ""Евразия"", БО-001Р-03";RU000A100G03;31.07.2019;31.07.2019;BUY;1000,00;100 000;101,5000;17 025,00;100,0000;102,9673;0;100 000;101 500 000,00;17 025,00;100 000 000,00;102 967 308,22;2 967 308,22;0,00;-1 500 000,00;0,00;2 992 000,00;29,92;ДУ-001;СССД_ЦБ
55;"Буровая компания ""Евразия"", БО-001Р-03";RU000A100G03;31.03.2020;01.04.2020;BUY;1000,00;1 313;101,2500;365,59;100,0000;102,9673;0;1 313;1 329 412,50;365,59;1 313 000,00;1 351 960,76;38 960,76;0,00;-16 412,50;31 722,08;39 284,96;29,92;ДУ-001;СССД_ЦБ
56;"Буровая компания ""Евразия"", БО-001Р-03";RU000A100G03;31.03.2020;01.04.2020;BUY;1000,00;1 987;101,2500;553,26;100,0000;102,9673;0;1 987;2 011 837,50;553,26;1 987 000,00;2 045 960,41;58 960,41;0,00;-24 837,50;48 005,92;59 451,04;29,92;ДУ-001;СССД_ЦБ
57;ВБРР, 001P-05;RU000A1025H2;24.09.2020;24.09.2020;BUY;1000,00;410 000;100,0000;100 450,00;100,0000;100,0000;0;410 000;410 000 000,00;100 450,00;410 000 000,00;410 000 000,00;0,00;0,00;0,00;0,00;2 082 800,00;5,08;ДУ-001;СССД_ЦБ
58;ВБРР, 001Р-02;RU000A0ZYQX9;10.06.2019;10.06.2019;BUY;1000,00;839;99,0000;225,22;99,7818;100,5300;0;839;830 610,00;225,22;837 169,51;843 446,70;6 277,19;0,00;6 559,51;0,00;15 597,01;18,59;ДУ-001;СССД_ЦБ
59;ВБРР, 001Р-02;RU000A0ZYQX9;10.06.2019;10.06.2019;BUY;1000,00;100 000;99,4000;16 710,00;99,7818;100,5300;0;100 000;99 400 000,00;16 710,00;99 781 824,34;100 530 000,00;748 175,66;0,00;381 824,34;0,00;1 859 000,00;18,59;ДУ-001;СССД_ЦБ
60;ВБРР, 001Р-02;RU000A0ZYQX9;14.06.2019;14.06.2019;BUY;1000,00;85 000;99,4000;14 473,50;99,7818;100,5300;0;85 000;84 490 000,00;14 473,50;84 814 550,69;85 450 500,00;635 949,31;0,00;324 550,69;0,00;1 580 150,00;18,59;ДУ-001;СССД_ЦБ
61;ВБРР, 001Р-02;RU000A0ZYQX9;18.06.2019;18.06.2019;BUY;1000,00;75 000;99,4000;12 982,51;99,7818;100,5300;0;75 000;74 550 000,00;12 982,51;74 836 368,26;75 397 500,00;561 131,74;0,00;286 368,26;0,00;1 394 250,00;18,59;ДУ-001;СССД_ЦБ
62;ВБРР, 001Р-02;RU000A0ZYQX9;12.07.2019;12.07.2019;BUY;1000,00;1 404;99,5700;349,61;99,7818;100,5300;0;1 404;1 397 962,80;349,61;1 400 936,81;1 411 441,20;10 504,39;0,00;2 974,01;0,00;26 100,36;18,59;ДУ-001;СССД_ЦБ
